id,name,postal,province,city,industry,rev_band,revenue_m,employees,founded,status,website,phone,description,news1_title,news1_date,news1_url,news2_title,news2_date,news2_url,news3_title,news3_date,news3_url,lat,lng,pop,area_type
1,Axiom Cloud Solutions,M5V,ON,Toronto,Technology,enterprise,245,1850,2008,Customer,axiomcloud.ca,416-555-0101,"Axiom Cloud Solutions is a Toronto-based enterprise software company specializing in cloud infrastructure management and DevOps automation. Serving over 400 clients across North America, Axiom helps organizations accelerate digital transformation through AI-driven deployment pipelines and multi-cloud governance platforms.","Axiom Cloud Raises $40M Series C to Expand US Operations",2024-03-15,https://techcrunch.com,"Axiom Launches AI-Powered Cost Optimizer for AWS & Azure",2024-01-28,https://businesswire.com,"Axiom Named Top 10 Cloud Innovators by CIO Review",2023-11-10,https://cioreview.com,43.6426,-79.3871,28400,Urban
2,NorthBridge Capital,M5V,ON,Toronto,Finance,large,88,420,2015,Customer,northbridgecap.ca,416-555-0202,"NorthBridge Capital is a Canadian mid-market private equity firm managing over $1.2B in assets. The firm focuses on growth equity investments in technology-enabled businesses across Canada and the northeastern United States, with a portfolio spanning fintech, healthcare IT, and industrial software.","NorthBridge Closes $320M Fund IV for Canadian Mid-Market",2024-04-02,https://privateequitywire.co.uk,"NorthBridge Backs AI Startup Meridian Analytics",2024-02-14,https://globeandmail.com,"NorthBridge Named Private Equity Firm of the Year – Canada",2023-10-05,https://privateequityinternational.com,43.6426,-79.3871,28400,Urban
3,BrightPath Media,M5V,ON,Toronto,Technology,mid,32,180,2019,Prospect,brightpathmedia.ca,416-555-0303,"BrightPath Media is a Toronto-based digital marketing and content intelligence platform. The company offers AI-powered content analytics, influencer matching, and programmatic advertising solutions to mid-market brands across Canada.","BrightPath Launches Real-Time Content Performance Dashboard",2024-03-20,https://marketingmag.ca,"BrightPath Partners with Rogers Media for Digital Ad Network",2024-01-09,https://adweek.com,"BrightPath CEO Named to Canada's 40 Under 40 List",2023-09-22,https://canadianbusiness.com,43.6426,-79.3871,28400,Urban
4,Maple Leaf Ventures,M5V,ON,Toronto,Finance,mid,45,95,2017,Customer,mapleleafvc.ca,416-555-0404,"Maple Leaf Ventures is an early-stage venture capital firm investing in Canadian deep tech, cleantech, and digital health startups. With $180M under management, the firm backs founders from pre-seed through Series A and provides hands-on operational support through its 90-day founder program.","Maple Leaf Ventures Announces $75M Fund III",2024-02-20,https://betakit.com,"Portfolio Company CleanVolt Raises $12M with Maple Leaf Lead",2024-01-15,https://techcrunch.com,"Maple Leaf Ventures Opens Vancouver Office",2023-08-30,https://biv.com,43.6426,-79.3871,28400,Urban
5,Fusion Eats Co,M5V,ON,Toronto,Food & Beverage,small,6.5,55,2021,Prospect,fusioneats.ca,416-555-0505,"Fusion Eats Co is a Toronto food-tech startup operating a ghost kitchen network across the GTA. The company powers over 15 virtual restaurant brands through a single production hub, leveraging data-driven menu optimization and third-party delivery platform integrations to maximize order volume.","Fusion Eats Expands to 8 New Ghost Kitchen Locations in GTA",2024-03-01,https://foodserviceandhospitality.com,"Fusion Eats Partners with DoorDash Canada for Exclusive Brands",2024-01-22,https://restaurantbusinessonline.com,"Fusion Eats Named Best Food Tech Startup at Canadian Innovation Awards",2023-11-05,https://innovationawards.ca,43.6426,-79.3871,28400,Urban
6,Vertex Analytics,M5T,ON,Toronto,Technology,mid,28,160,2016,Customer,vertexanalytics.ca,416-555-0606,"Vertex Analytics delivers real-time business intelligence and data pipeline solutions to financial services and retail clients. Its platform integrates with over 200 data sources and offers pre-built industry models, enabling non-technical users to generate actionable insights through natural language queries.","Vertex Analytics Releases GPT-Powered Query Engine",2024-04-10,https://datanami.com,"Vertex Signs Enterprise Deal with TD Bank for Data Platform",2024-02-28,https://financialpost.com,"Vertex Analytics Wins Deloitte Fast 50 Award",2023-10-18,https://deloitte.ca,43.6534,-79.3965,19200,Urban
7,Heritage Health Group,M5T,ON,Toronto,Healthcare,large,72,640,2009,Customer,heritagehealth.ca,416-555-0707,"Heritage Health Group operates a network of 14 private medical clinics and diagnostic imaging centers across the Greater Toronto Area. The company offers family medicine, physiotherapy, occupational health, and corporate wellness programs to over 120,000 patients annually.","Heritage Health Acquires 3 Clinics in Mississauga",2024-03-12,https://healthcarebusiness.com,"Heritage Health Launches Virtual Care Platform for Corporate Clients",2024-01-30,https://canadianhealthcaretechnology.com,"Heritage Health Wins Ontario Ministry of Health Innovation Grant",2023-12-01,https://ontario.ca,43.6534,-79.3965,19200,Urban
8,Chinatown Grocers Ltd,M5T,ON,Toronto,Retail,small,8.2,110,2001,Inactive,,,416-555-0808,"Chinatown Grocers Ltd is a specialty Asian grocery retailer operating three stores in the Toronto Chinatown district. The company sources produce, dry goods, and prepared foods directly from suppliers in Asia and local Ontario farms, serving both retail and restaurant wholesale customers.","Chinatown Grocers Closes Spadina Ave Location After 22 Years",2024-02-14,https://toronto.com,"Chinatown Grocers Rebrands Two Stores Under New Management",2023-09-08,https://blogto.com,"Chinatown Grocers Files for Creditor Protection",2023-06-20,https://globeandmail.com,43.6534,-79.3965,19200,Urban
9,Rosedale Partners,M4W,ON,Toronto,Finance,enterprise,310,2200,2003,Customer,rosedalepartners.ca,416-555-0909,"Rosedale Partners is one of Canada's leading independent asset managers with $4.2B in AUM. The firm operates fixed income, equity, and alternative investment strategies for institutional clients, family offices, and high-net-worth individuals across Canada and internationally.","Rosedale Partners Acquires Boutique Fixed Income Firm BlueSky Capital",2024-04-05,https://financialpost.com,"Rosedale Partners Launches AI-Driven ESG Screening Platform",2024-02-10,https://responsible-investor.com,"Rosedale Partners Reports Record $4.2B AUM for FY2023",2024-01-15,https://reuters.com,43.6795,-79.3762,15600,Urban
10,Pinnacle Real Estate,M4W,ON,Toronto,Real Estate,large,95,380,2011,Customer,pinnaclere.ca,416-555-1010,"Pinnacle Real Estate is a full-service commercial and residential real estate brokerage and asset management firm. The company manages a portfolio of $1.8B in properties across the GTA, with specializations in mixed-use urban development, purpose-built rentals, and commercial leasing.","Pinnacle Breaks Ground on $220M Mixed-Use Tower in Midtown Toronto",2024-03-28,https://constructioncanada.net,"Pinnacle Real Estate Acquires 4 Rental Buildings in East York",2024-01-20,https://renx.ca,"Pinnacle Wins BOMA Canada Award for Sustainable Building Management",2023-11-14,https://boma.ca,43.6795,-79.3762,15600,Urban
